id_obs,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1,4040990000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:350564,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia pluma,,SPECIES,"Aglaophenia pluma (Linnaeus, 1758)",Aglaophenia pluma,,ES,Playa de la Granadella,Alicante/Alacant,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.73,0.21,707,,,,,,2017-10-18,18,10,2017,2267393,2267393,HUMAN_OBSERVATION,BDBCV,BDBCV-General,350564,,Fundación Oceanogràfic,,CC_BY_NC_4_0,,Fundación Oceanogràfic,,native,2026-03-03T21:34:41.807Z,,GEODETIC_DATUM_ASSUMED_WGS84
2,4040450000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:350565,Animalia,Cnidaria,Anthozoa,Actiniaria,Aiptasiidae,Exaiptasia,Exaiptasia diaphana,,SPECIES,"Exaiptasia diaphana (Rapp, 1829)","Exaiptasia diaphana (Rapp, 1829)","(Rapp, 1829)",ES,Playa de la Granadella,Alicante/Alacant,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.73,0.21,707,,,,,,2017-10-18,18,10,2017,10638056,10638056,HUMAN_OBSERVATION,BDBCV,BDBCV-General,350565,,Fundación Oceanogràfic,,CC_BY_NC_4_0,,Fundación Oceanogràfic,,native,2026-03-03T21:34:41.916Z,,GEODETIC_DATUM_ASSUMED_WGS84
3,4040770000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2010283,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia,Pelagia noctiluca,,SPECIES,"Pelagia noctiluca (Forsskål, 1775)",Pelagia noctiluca,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.76,-0.16,707,,,,,,2016-08-25,25,8,2016,2264423,2264423,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2010283,,Ayuntamiento de Xilxes,,CC_BY_NC_4_0,,Ayuntamiento de Xilxes,,native,2026-03-03T21:34:38.304Z,,GEODETIC_DATUM_ASSUMED_WGS84
4,4040840000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2139909,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Pennatula,Pennatula phosphorea,,SPECIES,"Pennatula phosphorea Linnaeus, 1758","Pennatula phosphorea Linnaeus, 1758","Linnaeus, 1758",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,37.95,-0.7,707,,,,,,2018-06-20,20,6,2018,2258697,2258697,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2139909,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.448Z,,GEODETIC_DATUM_ASSUMED_WGS84
5,4040840000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2143094,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Tridentata,Tridentata perpusilla,,SPECIES,"Tridentata perpusilla (Stechow, 1919)","Tridentata perpusilla (Stechow, 1919)","(Stechow, 1919)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,37.89,-0.74,707,,,,,,2018-06-20,20,6,2018,11360452,11360452,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2143094,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.457Z,,GEODETIC_DATUM_ASSUMED_WGS84
6,4040840000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2144480,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Monotheca,Monotheca obliqua,,SPECIES,"Plumularia obliqua (Johnston, 1847)","Plumularia obliqua (Thompson, 1844)","(Thompson, 1844)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.53,-0.14,707,,,,,,2018-08-02,2,8,2018,2266999,5185801,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2144480,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.461Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
7,4040840000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2075033,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,,SPECIES,"Anemonia sulcata (Pennant, 1777)","Anemonia sulcata Forskål, 1775","Forskål, 1775",ES,Cap de la Nao,Alicante/Alacant,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.74,0.23,707,,,,,,2017-10-20,20,10,2017,2256631,2256631,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2075033,,Fundación Oceanogràfic,,CC_BY_NC_4_0,,Fundación Oceanogràfic,,native,2026-03-03T21:34:46.628Z,,GEODETIC_DATUM_ASSUMED_WGS84
8,4040850000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2085609,Animalia,Cnidaria,Anthozoa,,Cerianthidae,Cerianthus,Cerianthus membranaceus,,SPECIES,"Cerianthus membranaceus (Gmelin, 1791)",Cerianthus membranaceus,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.65,0.1,707,,,,,,2017-07-21,21,7,2017,5841862,5841862,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2085609,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:46.636Z,,GEODETIC_DATUM_ASSUMED_WGS84
9,1501580000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1719911,Animalia,Cnidaria,Anthozoa,,Cerianthidae,Cerianthus,Cerianthus membranaceus,,SPECIES,"Cerianthus membranaceus (Gmelin, 1791)",Cerianthus membranaceus,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.87,0.11,707,,,,,,2013-08-22,22,8,2013,5841862,5841862,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1719911,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.099Z,,GEODETIC_DATUM_ASSUMED_WGS84
10,4040880000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2513353,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia,Pelagia noctiluca,,SPECIES,"Pelagia noctiluca (Forsskål, 1775)",Pelagia noctiluca,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.71,0.17,707,,,,,,2021-08-13,13,8,2021,2264423,2264423,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2513353,,Servicio de Socorrismo,,CC_BY_NC_4_0,,Servicio de Socorrismo,,native,2026-03-03T21:34:39.432Z,,GEODETIC_DATUM_ASSUMED_WGS84
