id_obs,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1,4041020000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2278183,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,,SPECIES,"Myliobatis aquila (Linnaeus, 1758)","Myliobatis aquila (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.87,0.01,707,,,,,,2019-06,,6,2019,2419310,2419310,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2278183,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:31.509Z,,GEODETIC_DATUM_ASSUMED_WGS84
2,4040580000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2145871,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,,SPECIES,"Scyliorhinus canicula (Linnaeus, 1758)","Scyliorhinus canicula (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.61,0.02,707,,,,,,2018-06-27,27,6,2018,2418684,2418684,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2145871,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.660Z,,GEODETIC_DATUM_ASSUMED_WGS84
3,1501710000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1853228,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,Cabo Huertas,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.36,-0.4,707,,,,,,2015-07-07,7,7,2015,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1853228,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.389Z,,GEODETIC_DATUM_ASSUMED_WGS84
4,4988480000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2800142,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja miraletus,,SPECIES,"Raja miraletus Linnaeus, 1758","Raja miraletus Linnaeus, 1758","Linnaeus, 1758",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.27,-0.26,707,,,,,,2024-05-29,29,5,2024,5216033,5216033,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2800142,,J. Guallart Furió,,CC_BY_NC_4_0,,J. Guallart Furió,,native,2026-03-03T21:34:40.418Z,,GEODETIC_DATUM_ASSUMED_WGS84
5,4040990000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2278345,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.9,0.1,707,,,,,,2019-06,,6,2019,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2278345,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:31.510Z,,GEODETIC_DATUM_ASSUMED_WGS84
6,4040570000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2145989,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.62,0.02,707,,,,,,2018-06-27,27,6,2018,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2145989,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.661Z,,GEODETIC_DATUM_ASSUMED_WGS84
7,4988480000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2796564,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,Parc Natural de l'Albufera,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.37,-0.31,707,,,,,,2017-10-17,17,10,2017,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2796564,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:32.373Z,,GEODETIC_DATUM_ASSUMED_WGS84
8,4988470000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2786316,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,Gymnura altavela,,SPECIES,"Gymnura altavela (Linnaeus, 1758)","Gymnura altavela (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.4,-0.31,707,,,,,,2015-09-11,11,9,2015,5216232,5216232,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2786316,,J. Guallart Furió,,CC_BY_NC_4_0,,J. Guallart Furió,,native,2026-03-03T21:34:39.969Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
9,4040780000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2081994,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,,SPECIES,"Scyliorhinus canicula (Linnaeus, 1758)","Scyliorhinus canicula (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.65,0.1,707,,,,,,2017-07-21,21,7,2017,2418684,2418684,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2081994,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.289Z,,GEODETIC_DATUM_ASSUMED_WGS84
10,4040570000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2146429,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.59,-0.02,707,,,,,,2018-06-27,27,6,2018,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2146429,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.661Z,,GEODETIC_DATUM_ASSUMED_WGS84
