id_offshore,geometry,composite_date,label,structure_id,latest_flag,composite_datetime_utc,composite_month_utc,longitude,latitude
102,POINT (-3.590703 54.012082),1641000000000,wind,237795,Y,2022-01-01 00:00:00,2022-01,-3.590703,54.012082
114,POINT (5.958189 53.515807),1641000000000,probable_oil,510300,Y,2022-01-01 00:00:00,2022-01,5.958189,53.515807
131,POINT (1.510123 51.669517),1641000000000,wind,521871,Y,2022-01-01 00:00:00,2022-01,1.510123,51.669517
153,POINT (1.512386 51.644428),1641000000000,wind,415131,Y,2022-01-01 00:00:00,2022-01,1.512386,51.644428
161,POINT (12.793261 55.517149),1641000000000,wind,520771,Y,2022-01-01 00:00:00,2022-01,12.793261,55.517149
200,POINT (6.420005 53.997134),1641000000000,probable_wind,488239,Y,2022-01-01 00:00:00,2022-01,6.420005,53.997134
311,POINT (4.470885 53.583552),1641000000000,oil,223955,Y,2022-01-01 00:00:00,2022-01,4.470885,53.583552
357,POINT (1.521919 51.651227),1641000000000,wind,3874,Y,2022-01-01 00:00:00,2022-01,1.521919,51.651227
374,POINT (-3.597831 54.041946),1641000000000,wind,241528,Y,2022-01-01 00:00:00,2022-01,-3.597831,54.041946
464,POINT (-2.102392 49.150188),1641000000000,unknown,328169,Y,2022-01-01 00:00:00,2022-01,-2.102392,49.150188
501,POINT (12.797764 55.511826),1641000000000,wind,63010,Y,2022-01-01 00:00:00,2022-01,12.797764,55.511826
523,POINT (4.562534 53.640076),1641000000000,oil,544509,Y,2022-01-01 00:00:00,2022-01,4.562534,53.640076
573,POINT (-3.600391 53.490205),1641000000000,wind,73969,Y,2022-01-01 00:00:00,2022-01,-3.600391,53.490205
591,POINT (12.80186 55.514567),1641000000000,wind,37872,Y,2022-01-01 00:00:00,2022-01,12.80186,55.514567
604,POINT (12.805896 55.517338),1641000000000,wind,117051,Y,2022-01-01 00:00:00,2022-01,12.805896,55.517338
779,POINT (4.961058 53.614),1641000000000,oil,163680,Y,2022-01-01 00:00:00,2022-01,4.961058,53.614
798,POINT (-3.608697 54.064579),1641000000000,wind,232311,Y,2022-01-01 00:00:00,2022-01,-3.608697,54.064579
844,POINT (-2.479799 49.464204),1622510000000,unknown,189134,Y,2021-06-01 00:00:00,2021-06,-2.479799,49.464204
877,POINT (-3.159632 35.267306),1604190000000,unknown,512631,Y,2020-11-01 00:00:00,2020-11,-3.159632,35.267306
903,POINT (-3.176128 35.260851),1638320000000,unknown,182556,Y,2021-12-01 00:00:00,2021-12,-3.176128,35.260851
917,POINT (-3.937442 48.695359),1627780000000,unknown,139898,Y,2021-08-01 00:00:00,2021-08,-3.937442,48.695359
927,POINT (-4.443721 36.65832),1641000000000,unknown,40596,Y,2022-01-01 00:00:00,2022-01,-4.443721,36.65832
930,POINT (-4.506309 48.365205),1622510000000,unknown,179919,Y,2021-06-01 00:00:00,2021-06,-4.506309,48.365205
