"year","nb_observations","distance_port_moyenne","distance_infra_moyenne"
2010,49789,10.7307,0.6907
2011,46787,12.5737,0.7875
2012,52694,11.8715,0.7641
2013,42316,12.3315,0.8697
2014,41941,10.2956,0.6954
2015,36106,13.3927,0.6839
2016,27259,16.9530,1.0424
2017,23303,17.6674,1.4265
2018,29042,11.1632,0.5769
2019,25304,11.9545,0.9585
2020,19396,11.1447,0.4520
2021,36977,13.7532,0.7269
2022,12993,13.2658,0.5631
2023,11735,12.0977,0.5773
2024,3699,7.2162,0.7168
2025,416,12.6560,1.9529
2026,16,12.3339,0.5227
