"distance_port_min","distance_infra_min","phylum"
4.752280,0.471775,Cnidaria
7.794407,0.016565,Arthropoda
4.752280,0.471775,Cnidaria
3.925387,0.164760,Cnidaria
9.392173,0.060294,Arthropoda
30.576219,2.363565,Arthropoda
6.443311,0.186184,Arthropoda
10.412719,0.061305,Arthropoda
5.520167,0.621056,Cnidaria
9.991609,0.003938,Arthropoda
5.572464,0.692893,Cnidaria
34.531563,2.399875,Arthropoda
2.354629,0.198994,Arthropoda
5.089170,0.068740,Cnidaria
16.194282,0.172878,Arthropoda
4.732327,0.494111,Cnidaria
29.630846,1.665878,Arthropoda
4.882304,0.337068,Cnidaria
16.969346,0.948591,Arthropoda
4.702546,0.484333,Cnidaria
15.183468,0.022565,Arthropoda
4.792251,0.427111,Cnidaria
11.064473,0.120457,Arthropoda
27.992166,2.299608,Arthropoda
8.098827,0.047516,Arthropoda
26.784045,2.498094,Arthropoda
11.202762,0.195312,Arthropoda
8.135527,0.075806,Arthropoda
2.354629,0.198994,Arthropoda
10.253285,0.017755,Arthropoda
34.395786,2.431620,Arthropoda
10.040194,0.049485,Arthropoda
9.465416,0.004335,Arthropoda
9.610710,0.185272,Arthropoda
5.672080,0.003201,Arthropoda
7.726450,0.057640,Arthropoda
16.969346,0.948591,Arthropoda
2.354629,0.198994,Arthropoda
12.793791,0.550908,Arthropoda
10.938555,0.311153,Arthropoda
9.570654,0.003785,Arthropoda
6.985355,0.071688,Arthropoda
8.356472,0.013220,Arthropoda
14.678833,0.554722,Arthropoda
28.384721,0.006944,Arthropoda
6.931422,0.093203,Arthropoda
9.570942,0.001978,Arthropoda
29.896431,1.722517,Arthropoda
10.228781,0.009514,Arthropoda
9.743757,0.079423,Arthropoda
7.291031,0.700132,Arthropoda
4.715066,0.471724,Cnidaria
14.633722,0.003482,Arthropoda
8.297198,0.038699,Arthropoda
29.792306,1.604565,Arthropoda
4.695092,0.496844,Cnidaria
27.820317,2.436655,Arthropoda
13.094855,0.504953,Arthropoda
8.198259,0.132175,Arthropoda
26.877958,2.481754,Arthropoda
8.083251,0.076260,Arthropoda
10.479160,0.031968,Arthropoda
9.902727,0.257229,Arthropoda
28.629285,0.263625,Arthropoda
14.533338,0.083191,Arthropoda
7.824714,0.008420,Arthropoda
4.520362,0.633968,Cnidaria
28.336829,0.001647,Arthropoda
9.207192,0.139134,Arthropoda
16.650559,1.615110,Arthropoda
4.700251,0.514806,Cnidaria
29.205590,0.893416,Arthropoda
3.523160,0.391838,Cnidaria
3.064085,0.094232,Arthropoda
10.343151,0.130813,Arthropoda
14.521101,0.003775,Arthropoda
5.435073,0.002568,Arthropoda
9.451170,0.049220,Arthropoda
27.424415,1.387945,Arthropoda
10.774148,0.463231,Arthropoda
4.724296,0.499065,Cnidaria
27.375181,2.493452,Arthropoda
27.998454,2.287595,Arthropoda
2.876515,0.275302,Arthropoda
6.976841,0.072370,Arthropoda
10.230952,0.007097,Arthropoda
5.110032,0.034991,Cnidaria
4.740365,0.489312,Cnidaria
4.225128,0.543090,Cnidaria
27.574531,1.955608,Arthropoda
11.026416,0.189025,Arthropoda
5.092760,0.046380,Cnidaria
10.414934,0.059001,Arthropoda
9.451170,0.049220,Arthropoda
7.550848,0.004719,Arthropoda
4.746316,0.480520,Cnidaria
7.299159,0.709959,Arthropoda
9.911391,0.280230,Arthropoda
4.752280,0.471775,Cnidaria
14.384000,0.632585,Arthropoda
2.876515,0.275302,Arthropoda
7.275568,1.047728,Arthropoda
3.925387,0.164760,Cnidaria
8.219007,0.175275,Arthropoda
4.880390,0.332877,Cnidaria
9.405994,0.135157,Arthropoda
4.792251,0.427111,Cnidaria
29.901794,1.728802,Arthropoda
6.996048,0.179839,Arthropoda
10.676115,0.047710,Arthropoda
4.225128,0.543090,Cnidaria
6.998168,0.165439,Arthropoda
3.064085,0.094232,Arthropoda
14.979445,0.211503,Arthropoda
4.707420,0.482494,Cnidaria
9.451170,0.049220,Arthropoda
9.902727,0.257229,Arthropoda
4.715066,0.471724,Cnidaria
4.702546,0.484333,Cnidaria
28.606280,2.112324,Arthropoda
22.263646,0.431612,Arthropoda
15.454325,0.291865,Arthropoda
9.554643,0.022804,Arthropoda
4.345343,0.613422,Cnidaria
2.354629,0.198994,Arthropoda
6.993593,0.182541,Arthropoda
10.251906,0.009269,Arthropoda
27.490924,3.301291,Arthropoda
4.754331,0.434245,Cnidaria
30.663851,2.131682,Arthropoda
4.792251,0.427111,Cnidaria
5.252997,0.048752,Arthropoda
8.730770,0.219063,Arthropoda
3.925387,0.164760,Cnidaria
40.593109,5.750617,Arthropoda
22.264080,0.431777,Arthropoda
27.573808,2.472880,Arthropoda
28.042642,3.063628,Arthropoda
9.570654,0.003785,Arthropoda
27.495123,1.828519,Arthropoda
8.779529,0.440667,Arthropoda
9.142055,0.415558,Arthropoda
15.723935,0.444478,Arthropoda
4.718180,0.469189,Cnidaria
7.104686,0.006691,Arthropoda
4.759289,0.432012,Cnidaria
27.977642,2.428716,Arthropoda
20.509918,1.407464,Arthropoda
4.250476,0.548713,Cnidaria
27.479536,1.841858,Arthropoda
8.217524,0.178428,Arthropoda
27.138921,1.383638,Arthropoda
5.117797,0.061365,Cnidaria
5.252997,0.048752,Arthropoda
7.633321,0.173231,Arthropoda
4.765657,0.426974,Cnidaria
14.978754,0.205135,Arthropoda
34.410774,2.430559,Arthropoda
4.880390,0.332877,Cnidaria
4.962649,0.247625,Cnidaria
14.793332,0.548300,Arthropoda
8.621249,0.283080,Arthropoda
4.125610,0.396820,Cnidaria
8.750636,0.141128,Arthropoda
5.289127,0.003673,Arthropoda
15.613858,0.473949,Arthropoda
15.393352,0.230274,Arthropoda
10.938555,0.311153,Arthropoda
2.110399,0.147194,Arthropoda
