"year","phylum","nb_observations","distance_port_moyenne","distance_infra_moyenne","nb_especes_distinctes"
2010,Arthropoda,49572,10.7978,0.6941,872
2010,Cnidaria,664,4.2830,0.2090,21
2011,Arthropoda,46939,12.6391,0.7899,912
2011,Chordata,1,4.0124,0.2593,1
2011,Cnidaria,267,3.4681,0.1890,25
2012,Arthropoda,52798,11.9329,0.7668,919
2012,Chordata,55,5.1222,0.1505,4
2012,Cnidaria,307,3.8854,0.2029,23
2013,Arthropoda,42296,12.4065,0.8716,929
2013,Chordata,91,4.9170,0.5581,4
2013,Cnidaria,267,3.5014,0.3047,22
2014,Arthropoda,42017,10.3400,0.6967,788
2014,Chordata,29,5.0481,0.1866,4
2014,Cnidaria,255,3.7110,0.2092,18
2015,Arthropoda,36127,13.4577,0.6846,739
2015,Chordata,68,4.9488,0.1696,6
2015,Cnidaria,323,3.5536,0.1882,22
2016,Arthropoda,27132,17.1273,1.0516,561
2016,Chordata,58,4.7752,0.2924,4
2016,Cnidaria,339,3.3386,0.2326,25
2017,Arthropoda,22984,18.0024,1.4503,613
2017,Chordata,84,4.5376,0.4698,4
2017,Cnidaria,544,3.8698,0.3270,27
2018,Arthropoda,28862,11.2860,0.5779,634
2018,Chordata,75,5.0803,0.3775,7
2018,Cnidaria,538,4.0236,0.2993,30
2019,Arthropoda,25121,12.0698,0.9627,826
2019,Chordata,28,4.7120,0.4774,5
2019,Cnidaria,427,3.6700,0.2972,30
2020,Arthropoda,19308,11.2423,0.4543,632
2020,Chordata,1,3.6828,0.7153,1
2020,Cnidaria,262,2.9158,0.1754,9
2021,Arthropoda,37172,13.8184,0.7268,783
2021,Cnidaria,268,3.4037,0.1989,11
2022,Arthropoda,12980,13.3326,0.5654,398
2022,Chordata,6,5.2021,0.1785,4
2022,Cnidaria,141,4.8535,0.2319,28
2023,Arthropoda,11732,12.1850,0.5785,336
2023,Chordata,1,4.2890,0.5373,1
2023,Cnidaria,208,4.9348,0.3607,16
2024,Arthropoda,3687,7.2579,0.7155,287
2024,Chordata,3,4.2990,0.5768,3
2024,Cnidaria,42,4.2800,0.5371,10
2025,Arthropoda,416,12.6560,1.9529,80
2026,Arthropoda,16,12.3339,0.5227,13
