"NomPort","latitude","longitude","nb_observations_associees","distance_moyenne_km"
port du Grand Large,51.04698959,2.37413086,253526,14.0802
port de Tollare,43.00795287082849,9.387408291859344,53425,20.8109
port de Calais,50.9670860431865,1.847829032983668,26201,4.2103
port de Solenzara,41.85835225845011,9.402532848112628,18508,26.8583
port de Goury,49.71560255641299,-1.945170315557448,16034,5.6212
port du Stiff,48.46957063937367,-5.054523853093201,12044,7.6136
port du Vilh,48.575445702357456,-4.608208117410527,9016,5.4780
port de Socoa,43.39574253970431,-1.683487275646848,8234,10.6831
port de Saint-Val├®ry-en-Caux,49.8686852162499,0.71111133482043,7414,0.6248
port de Argel├¿s-sur-Mer,42.54202507070062,3.047715934542907,6035,2.8845
port de F├®camp,49.76148088513492,0.367816779620853,5545,0.6880
Vieux-Port de la Sante,43.70269216820918,7.312117917508033,5228,0.0186
port de Mogu├®riec,48.688861892762304,-4.078096505948849,5127,2.5059
port de Portsall,48.55684680333746,-4.69976921367811,4345,3.2828
port de Roubary,49.694024228635385,-1.278877713935174,3446,1.0010
port de Port-Vendres,42.51755640730255,3.108841044578696,3253,1.3308
port de Larraldenia,43.384977915798345,-1.666052897822794,2830,11.8504
port des Loups de mer dunkerquois,51.0405434531264,2.37638972621371,2602,4.3635
port de Ploumanac'h,48.82861856165802,-3.486438006989372,2561,2.0103
port de Sant'Amanza,41.40513974070666,9.222205296137645,2040,21.8824
